Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Camacari;BA;ELINALDO;CAETANO;IVONEIDE CAETANO;309.208;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;2,231492674;1,98454389;0,246948784;135048;23072;158120;73994;44378;47;28;19;146.181;32945;179126;68927;52569;38;29;9;-10;Indústrias de transformação;84.446,59;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;23/04/2020;206;0,8;DECRETO 7337/2020;20/03/2020;240;0,954545455;DECRETO 7315/2020;0,51;0,4928;0,7393;0,5416;0,5214;0,7357;0,0316;0;0,0286;0;-0,0036;1
Juazeiro;BA;PAULO BOMFIM;JOSEPH BANDEIRA;SUZANA RAMOS;219.544;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PT;2,457072328;2,864549601;-0,407477273;121937;24436;146373;46183;43734;32;30;2;123.223;23686;146909;33553;64229;23;44;-21;-23;Demais serviços;20.120,96;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;LEI Nº 14,019, DE 2 DE JULHO DE 2020;23/03/2020;237;0,920454545;Decreto 266/2020, de 23 de março de 2020;0,4763;0,5111;0,5772;0,5041;0,4797;0,5945;0,0278;0;-0,0314;1;0,0173;0
Lauro de freitas;BA;MOEMA GRAMACHO;MATEUS REIS;TEOBALDO;204.669;12;6 - 100001 até 500000;2 - Nordeste;FEMININO;1;PT;2,591229497;2,249427616;0,341801881;96770;21785;118555;43951;34101;37;29;8;111.003;34202;145205;50680;34216;35;24;11;3;Demais serviços;32.002,21;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/04/2020;223;0,897142857;DECRETO MUNICIPAL N° 4,607, DE 06 DE ABRIL DE 2020;19/03/2020;241;0,965909091;DECRETO MUNICIPAL Nº 4,594 DE 19 DE MARÇO DE 2020 ;0,5917;0,5499;0,7825;0,6044;0,5896;0,7894;0,0127;0;0,0397;0;0,0069;0
Vitoria da conquista;BA;HERZEM GUSMÃO;ZÉ RAIMUNDO;ZÉ RAIMUNDO;343.643;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;2,278925844;2,917820263;-0,638894419;182772;47826;230598;78455;51989;34;23;11;187.550;43626;231176;78732;81721;34;35;-1;-13;Demais serviços;20.905,86;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;19/04/2020;210;0,822857143; Decreto 20,265;22/03/2020;238;0,931818182;DECRETO N,º 20,202, DE 22 DE MARÇO DE 2020,;0,4498;0,4064;0,6526;0,5275;0,5625;0,6569;0,0777;0;0,1561;0;0,0043;0
Aquiraz;CE;EDSON SÁ;GUIMARÃES;DR BRUNO GONÇALVES;81.581;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PDT;1,988053182;2,094032464;-0,105979281;47311;4174;51485;26348;14109;51;27;24;50.652;7165;57817;21884;25562;38;44;-6;-30;Demais serviços;42.147,15;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;https://g1,globo,com/ce/ceara/noticia/2020/05/05/camilo-prorroga-decreto-de-isolamento-ate-o-dia-20-de-maio-no-ceara-uso-de-mascara-sera-obrigatorio,ghtml;19/03/2020;241;0,965909091;DECRETO Nº33,519, de 19 de março de 2020;0,5493;0,5048;0,6606;0,6122;0,5604;0,6642;0,0629;0;0,0556;0;0,0036;0
Caucaia;CE;NAUMI AMORIM;EDUARDO PESSOA;VITOR VALIM;368.918;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSD;3,464591071;2,85374399;0,61084708;180332;32841;213173;73316;48450;34;23;12;189.148;32980;222128;69262;47171;31;21;10;-2;Demais serviços;19.873,31;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;DECRETO Nº 1,110, DE 31 DE MAIO DE 2020,;20/03/2020;240;0,954545455;DECRETO Nº 1,100, DE 20 DE MARÇO DE 2020,;0,4558;0,3922;0,5058;0,5389;0,5039;0,5081;0,0831;0;0,1117;0;0,0023;0
Itapipoca;CE;JOÃO BARROSO;DR, DAGMAURO;FELIPE PINHEIRO;131.687;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSDB;2,776309144;2,662797251;0,113511893;75335;3977;79312;33158;27526;42;35;7;76.347;11554;87901;27415;31760;31;36;-5;-12;Administração, defesa, educação e saúde públicas e seguridade social;12.210,38;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;https://g1,globo,com/ce/ceara/noticia/2020/05/05/camilo-prorroga-decreto-de-isolamento-ate-o-dia-20-de-maio-no-ceara-uso-de-mascara-sera-obrigatorio,ghtml;19/03/2020;241;0,965909091;DECRETO Nº33,519, de 19 de março de 2020;0,5047;0,5316;0,4416;0,5208;0,5124;0,4155;0,0161;0;-0,0192;1;-0,0261;1
Juazeiro do norte;CE;ARNON BEZERRA;GILMAR BENDER;GLÊDSON BEZERRA;278.264;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PTB;3,003987253;3,170565649;-0,166578396;143179;17003;160182;55538;44321;35;28;7;143.931;30673;174604;48079;50715;28;29;-2;-9;Demais serviços;17.354,57;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;DECRETO N° 521, DE 05 DE MAIO DE 2020;19/03/2020;241;0,965909091;DECRETO Nº33,519, de 19 de março de 2020;0,5225;0,4998;0,6037;0,5782;0,5621;0,5903;0,0557;0;0,0623;0;-0,0134;1
Sobral;CE;IVO GOMES;MOSES RODRIGUES;OSCAR RODRIGUES;212.437;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PDT;1,934147984;2,313639695;-0,379491712;120638;10757;131395;57908;45209;44;34;10;121.470;20621;142091;66519;45795;47;32;15;5;Demais serviços;21.343,10;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;DECRETO 2414;19/03/2020;241;0,965909091;DECRETO 2376;0,6863;0,6995;0,6702;0,7452;0,7218;0,6929;0,0589;0;0,0223;0;0,0227;0
Cachoeiro de itapemirim;ES;VICTOR COELHO;JATHIR MOREIRA;DIEGO LIBARDI;212.172;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSB;2,986582709;2,408105831;0,578476878;109824;27114;136938;59377;24594;43;18;25;105.624;34814;140438;51926;17299;37;12;25;-1;Demais serviços;25.235,59;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;DECRETO 2914/2020;20/03/2020;240;0,954545455;DECRETO 29363;0,632;0,5943;0,7459;0,7018;0,6833;0,7489;0,0698;0;0,089;0;0,003;0
