Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;NEC_2016_calc;NEC_2020_calc;delta_competicao_diff;delta_competicao_log;Gestao_Index;Gestao_Index_c;delta_abstencao_pp_c;delta_competicao_diff_c;delta_competicao_log_c;vantagem2016_c;UF;Populacao;VD1_Reeleito;VD2_DeltaVantagem;mask_27A
Brasileia;AC;FERNANDA HASSEM;MANOEL PRETE;LEILA GALVÃO;27.123;10;4 - 20001 até 50000;1 - Norte;FEMININO;1;PT;2,069842897;1,992140384;0,077702513;13758;3855;17613;6819;6013;39;34;5;13.522;3322;16844;7651;4590;45;27;18;14;Administração, defesa, educação e saúde públicas e seguridade social;17.981,49;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;22/05/2020;177;0,634285714;22/05/2020;177;0,238636364;0,4013;0,3308;0,4749;0,4832;0,3942;0,4891;0,0819;0;0,0634;0;0,0142;0;0.21887242377789132;0.1972215625742104;-2.165086120368093;1.992140384;2.069842897;0.07770251299999997;0.03826307865319104;0.26756029685714283;-0.48916512058067846;-7.60028189838129;0.18324614504316541;0.08513838330466683;-6.151079136690647;AC;27123;1;14;True
Epitaciolandia;AC;TIÃO FLORES;MARCOS FERNANDO;DELEGADO SERGIO LOPES ;18.979;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PP;2,868590577;2,657969889;0,210620688;9276;2283;11559;4068;3026;35;26;9;9.447;2285;11732;741;3984;6;34;-28;-37;Administração, defesa, educação e saúde públicas e seguridade social;23.156,18;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/05/2020;179;0,645714286;20/05/2020;179;0,261363636;0,3589;0,2553;0,4418;0,3918;0,2884;0,4493;0,0329;0;0,0331;0;0,0075;0;0.1975084349857254;0.19476645073303783;-0.2741984252687568;2.657969889;2.868590577;0.2106206880000001;0.07625818921049132;0.415296846;-0.3414285714378213;-5.7093942032819545;0.3161643200431655;0.12313349386196712;-2.1510791366906474;AC;18979;0;-37;True
Mancio lima;AC;ISAAC LIMA;SILENE SIQUEIRA;CHICÃO;19.643;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PT;1,985157322;2,02148981;-0,036332488;9890;2090;11980;5390;4024;45;34;11;10.964;2177;13141;4115;3460;31;26;5;-6;Administração, defesa, educação e saúde públicas e seguridade social;11.955,02;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;05/05/2020;194;0,731428571;20/03/2020;240;0,954545455;0,3001;0,2883;0,2509;0,3517;0,3806;0,2516;0,0516;0;0,0923;0;0,0007;0;0.17445742904841402;0.1656647134921239;-0.8792715556290132;2.02148981;1.985157322;-0.036332487999999774;-0.01813660286047832;0.6694248608571429;-0.08730055658067837;-6.31446733364221;0.06921114404316567;0.028738701790997478;-0.15107913669064743;AC;19643;1;-6;True
Porto acre;AC;BENÉ DAMASCENO;DANIEL NOGUEIRA;ZÉ MARIA;19.141;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PP;2,383062228;2,958365771;-0,575303542;10381;950;11331;4442;3227;39;28;11;10.026;2613;12639;5415;2761;43;22;21;10;Administração, defesa, educação e saúde públicas e seguridade social;12.948,19;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;10/09/2020;66;0;20/03/2020;240;0,954545455;0,3439;0,401;0,404;0,2917;0,3302;0,3133;-0,0522;1;-0,0708;1;-0,0907;1;0.08384079075103698;0.20674103963921198;12.2900248888175;2.958365771;2.383062228;-0.575303543;-0.2162507004001082;0.27922077928571426;-0.47750463815210703;6.854829110804303;-0.46975991095683456;-0.1693753957486324;-0.15107913669064743;AC;19141;1;10;True
Sena madureira;AC;MAZINHO SERAFIM;TOINHA VIEIRA;GERLEN DINIZ;47.168;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1,965406168;3,12608268;-1,160676513;21448;6108;27556;7889;6986;29;25;3;22.382;6603;28985;12183;9329;42;32;10;7;Administração, defesa, educação e saúde públicas e seguridade social;12.490,26;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;22/04/2020;207;0,579545455;0,2451;0,1584;0,3592;0,3093;0,2509;0,3632;0,0642;0;0,0925;0;0,004;0;0.22165771519814195;0.22780748663101605;0.6149771432874096;3.12608268;1.965406168;-1.1606765120000002;-0.4640817555520645;0.9121799629999999;0.15545454556217864;-4.820218634725787;-1.0551328799568347;-0.4172064509005887;-8.151079136690647;AC;47168;1;7;True
Delmiro gouveia;AL;PADRE ERALDO;GIVALDO CARIMBÃO;ZIANE COSTA;52.501;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSD;3,215702044;2,369884547;0,845817497;30197;5940;36137;14722;10107;41;28;13;28.673;8804;37477;8989;10948;24;29;-5;-18;Administração, defesa, educação e saúde públicas e seguridade social;11.926,88;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;20/03/2020;240;0,954545455;0,3021;0,3314;0,4121;0,447;0,5029;0,4044;0,1449;0;0,1715;0;-0,0077;1;0.1643744638459197;0.23491741601515595;7.0542952169236255;2.369884547;3.215702044;0.8458174970000001;0.30520445940021174;0.8114656772857142;0.05474025984789288;1.6190994389104283;0.9513611290431655;0.3520797640516875;1.8489208633093526;AL;52501;0;-18;True
Marechal deodoro;AL;CACAU;JUNIOR DAMASO;JUNIOR DAMASO;52.848;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;1,999998978;1,999999825;-8,46835E-07;29765;5051;34816;13536;13528;39;39;0;31.667;6676;38343;14702;14681;38;38;0;0;Indústrias de transformação;54.137,07;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;20/03/2020;240;0,954545455;0,4055;0,387;0,5945;0,5433;0,572;0,6216;0,1378;0;0,185;0;0,0271;0;0.14507697610294118;0.17411261507967557;2.903563897673439;1.999999825;1.999998978;-8.469999999149991e-07;-4.235001267151146e-07;0.8237105751428572;0.06698515770503588;-2.5316318803397584;0.10554278504316553;0.04687488115134908;-11.151079136690647;AL;52848;1;0;True
Palmeira dos indios;AL;JULIO CEZAR;DOUTORA VERÔNICA MEDEIROS;MOSABELLE RIBEIRO;73.452;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PSB;2,019969293;2,010159169;0,009810124;40715;8605;49320;23786;9936;48;20;28;38.811;11994;50805;21469;13010;42;26;17;-11;Administração, defesa, educação e saúde públicas e seguridade social;13.595,71;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;24/04/2020;205;0,794285714;20/03/2020;240;0,954545455;0,4089;0,3976;0,3913;0,5075;0,4596;0,4316;0,0986;0;0,062;0;0,0403;0;0.1744728304947283;0.23607912607026868;6.160629557554037;2.010159169;2.019969293;0.00981012399999992;0.00486840231947116;0.8212615955714285;0.06453617813360724;0.7254337795408397;0.11535375604316536;0.051743706970946955;16.848920863309353;AL;73452;1;-11;True
Rio largo;AL;GILBERTO GONÇALVES;PEDRO VICTOR;PEDRO VICTOR;75.662;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,177340213;4,196991078;-2,019650865;44993;7335;52328;12633;10754;24;21;4;46.916;10716;57632;25355;13945;44;24;20;16;Demais serviços;17.389,26;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;30/04/2020;199;0,76;20/03/2020;240;0,954545455;0,3894;0,3324;0,601;0,4964;0,392;0,6256;0,107;0;0,0596;0;0,0246;0;0.14017352086836876;0.18593836757357024;4.576484670520148;4.196991078;2.177340213;-2.019650865;-0.6562638124344873;0.6735064935714286;-0.08321892386639274;-0.8587111074930496;-1.9141072329568345;-0.6093885077830115;-7.151079136690647;AL;75662;1;16;True
Uniao dos palmares;AL;KIL;EDUARDO PEDROZA;SEBASTIÃO DE JESUS;65.963;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;3,455846551;2,159772284;1,296074266;35547;7484;43031;17817;12734;41;30;12;34.512;10441;44953;13008;9800;29;22;7;-5;Agricultura, inclusive apoio à agricultura e a pós colheita;19.509,04;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;30/04/2020;199;0,76;20/03/2020;240;0,954545455;0,332;0,3333;0,3711;0,4745;0,5002;0,3815;0,1425;0;0,1669;0;0,0104;0;0.1739211266296391;0.23226480991257537;5.8343683282936265;2.159772284;3.455846551;1.2960742669999998;0.47006465713926043;0.8163636364285713;0.05963821899075006;0.3991725502804293;1.4016178990431654;0.5169399617907362;0.8489208633093526;AL;65963;1;-5;True
Autazes;AM;ANDRESON CAVALCANTE;THOMÉ;THOMÉ NETO;41.005;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PSC;3,030903612;2,574249797;0,456653815;21767;2073;23840;9729;8163;41;34;7;22.322;4043;26365;9101;7461;35;28;6;0;Administração, defesa, educação e saúde públicas e seguridade social;11.092,32;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,2443;0,3264;0,2347;0,2751;0,3012;0,2776;0,0308;0;-0,0252;1;0,0429;0;0.08695469798657718;0.15334724065996586;6.639254267338868;2.574249797;3.030903612;0.45665381500000013;0.16330264614737908;0.965760667857143;0.2090352504193217;1.2040584893256705;0.5621974470431655;0.21017795079885487;-4.151079136690647;AM;41005;1;0;True
Itacoatiara;AM;PEIXOTO;MAMOUD AMED FILHO;MÁRIO ABRAHIM;104.046;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;PT;3,925829032;2,893255684;1,032573348;52779;9564;62343;22284;18560;36;30;6;53.003;14267;67270;8113;19810;12;29;-17;-23;Demais serviços;22.140,55;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;23/03/2020;237;0,920454545;0,3413;0,3172;0,413;0,4225;0,4175;0,4065;0,0812;0;0,1003;0;-0,0065;1;0.15340936432317984;0.21208562509290918;5.867626076972934;2.893255684;3.925829032;1.0325733480000001;0.30519514495803424;0.9567996288571429;0.20007421141932158;0.43243029895973706;1.1381169800431656;0.35207044960951006;-5.151079136690647;AM;104046;0;-23;True
Labrea;AM;GEAN BARROS;EVALDO GOMES;JOÃO ROBERTO;47.685;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1,699995963;1,683259775;0,016736188;17075;6156;23231;11390;4498;49;19;30;19.481;5960;25441;13778;2600;54;10;44;14;Administração, defesa, educação e saúde públicas e seguridade social;11.856,93;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;15/05/2020;184;0,674285714;12/06/2020;156;0;0,2771;0,321;0,2661;0,3305;0,3388;0,2825;0,0534;0;0,0178;0;0,0164;0;0.26499074512504844;0.23426752093078101;-3.072322419426743;1.683259775;1.699995963;0.016736188000000096;0.00989362070889802;0.8106122448571428;0.05388682741932149;-8.50751819743994;0.12227982004316554;0.05676892536037382;18.848920863309353;AM;47685;1;14;True
Parintins;AM;BI GARCIA;MARCIA BARANDA;JUSCELINO MANSO;116.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;DEM;1,860876487;2,11146476;-0,250588272;50678;13368;64046;30970;12773;48;20;28;52.202;17381;69583;32778;16262;47;23;24;-5;Administração, defesa, educação e saúde públicas e seguridade social;11.448,73;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;13/04/2020;216;0,857142857;20/03/2020;240;0,954545455;0,3295;0,2867;0,3054;0,4102;0,3848;0,3085;0,0807;0;0,0981;0;0,0031;0;0.20872497892140024;0.24978802293663682;4.1063044015236585;2.11146476;1.860876487;-0.250588273;-0.1263342993941859;0.6873840445714287;-0.06934137286639264;-1.3288913764895387;-0.14504464095683453;-0.07945899474271009;16.848920863309353;AM;116439;1;-5;True
Sao gabriel da cachoeira;AM;CLOVIS  CURUBÃO;EDINHO GONÇALVES;CLAUDIO PONTES;47.031;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PT;2,904980977;5,54780193;-2,642820953;20371;8385;28756;4649;2642;16;9;7;22.938;8247;31185;11197;6001;36;19;17;10;Administração, defesa, educação e saúde públicas e seguridade social;8.133,70;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;08/05/2020;191;0,714285714;20/04/2020;209;0,602272727;0,2259;0,213;0,2921;0,2686;0,2301;0,3284;0,0427;0;0,0171;0;0,0363;0;0.29159132007233274;0.26445406445406444;-2.7137255618268297;5.54780193;2.904980977;-2.642820953;-0.6469749587441691;0.7595083487142856;0.00278293127646434;-8.148921339840026;-2.537277320956835;-0.6000996540926933;-4.151079136690647;AM;47031;1;10;True
Laranjal do jari;AP;MÁRCIO SERRÃO;SERGINHO 14;AYRTON NOBRE;52.302;11;5 - 50001 até 100000;1 - Norte;MASCULINO;1;DEM;3,543519167;3,543519167;0;22408;5310;27718;6849;6091;25;22;3;20.668;7704;28372;13111;4000;46;14;32;29;Administração, defesa, educação e saúde públicas e seguridade social;20.142,52;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/04/2020;202;0,777142857;20/03/2020;240;0,954545455;0,268;0,2141;0,3085;0,3408;0,3385;0,3371;0,0728;0;0,1244;0;0,0286;0;0.19157226351107584;0.27153531650923446;7.9963052998158615;3.543519167;3.543519167;0.0;0.0;0.6759554731428572;-0.08076994429496409;2.5611095218026643;0.10554363204316544;0.046875304651475797;-8.151079136690647;AP;52302;1;29;True
Oiapoque;AP;MARIA ORLANDA;ARTUR DO AREAL;BRENO DO MIGUEL DO POSTO;28.534;10;4 - 20001 até 50000;1 - Norte;FEMININO;0;PSDB;5,053983122;3,27912866;1,774854462;12797;5464;18261;4834;3507;26;19;7;12.067;7480;19547;2959;2962;15;15;0;-7;Administração, defesa, educação e saúde públicas e seguridade social;17.494,76;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/04/2020;209;0,817142857;08/04/2020;221;0,738636364;0,2607;0,2696;0,2891;0,2814;0,2248;0,3609;0,0207;0;-0,0448;1;0,0718;0;0.2992169103554022;0.3826674169949353;8.345050663953307;3.27912866;5.053983122;1.774854462;0.4325989347622146;0.5079684601428571;-0.24875695729496416;2.90985488594011;1.8803980940431655;0.4794742394136904;-4.151079136690647;AP;28534;0;-7;True
Pedra branca do amapari;AP;BETH PELAES;IRMÃO WILSON;IRMÃO WILSON;17.625;10;3 - 10001 até 20000;1 - Norte;FEMININO;1;DEM;2,349719576;3,629464601;-1,279745025;6906;1410;8316;2159;2062;26;25;1;7.546;4192;11738;1992;2000;17;17;0;-1;Administração, defesa, educação e saúde públicas e seguridade social;27.493,88;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;23/04/2020;206;0,8;20/03/2020;240;0,954545455;0,302;0,1967;0,5188;0,4491;0,4096;0,5978;0,1471;0;0,2129;0;0,079;0;0.16955266955266957;0.3571306866587153;18.75780171060457;3.629464601;2.349719576;-1.279745025;-0.4347891528871049;0.5363636364285714;-0.22036178100924986;13.322605932591374;-1.1742013929568345;-0.38791384823562913;-10.151079136690647;AP;17625;1;-1;True
Porto grande;AP;BESSA;TONHO;ELIELSON MORAES;22.927;10;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PDT;4,350743156;3,962016402;0,388726754;10984;2191;13175;3402;2600;26;20;6;10.240;3441;13681;3306;2662;24;19;5;-1;Administração, defesa, educação e saúde públicas e seguridade social;16.993,05;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;18/04/2020;211;0,828571429;20/03/2020;240;0,954545455;0,3132;0,1622;0,4617;0,3736;0,2681;0,4146;0,0604;0;0,1059;0;-0,0471;1;0.1662998102466793;0.25151670199546816;8.521689174878885;3.962016402;4.350743156;0.3887267539999999;0.09359358287263365;0.8261595548571429;0.06943413741932158;3.086493396865688;0.4942703860431653;0.14046888752410946;-5.151079136690647;AP;22927;1;-1;True
Tartarugalzinho;AP;RILDO OLIVEIRA;ALMIR REZENDE;BRUNO MINEIRO;18.217;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;MDB;2,559336655;2,542653109;0,016683546;7479;1035;8514;3984;1929;47;23;24;8.021;1706;9727;3176;3567;33;37;-4;-28;Administração, defesa, educação e saúde públicas e seguridade social;13.849,97;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;22/04/2020;207;0,805714286;29/04/2020;200;0,5;0,3271;0,4036;0,2934;0,3391;0,409;0,3062;0,012;0;0,0054;0;0,0128;0;0.12156448202959831;0.17538809499331756;5.382361296371925;2.542653109;2.559336655;0.016683545999999883;0.00654003878390608;0.3293877551428571;-0.42733766229496417;-0.05283448164127247;0.12222717804316532;0.05341534343538187;12.848920863309353;AP;18217;0;-28;True
Alagoinhas;BA;JOAQUIM NETO;SONIA FONTES;PAULO CEZAR;153.023;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PSD;3,0876289;3,939936468;-0,852307568;85710;8467;94177;25684;18890;27;20;7;82.869;24066;106935;28268;27015;26;25;1;-6;Demais serviços;29.241,79;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;20/04/2020;209;0,817142857;23/03/2020;237;0,920454545;0,4193;0,4236;0,5644;0,4695;0,5236;0,6046;0,0502;0;0,1;0;0,0402;0;0.08990517854677894;0.22505260204797306;13.514742350119413;3.939936468;3.0876289;-0.8523075680000001;-0.2437611482362538;0.533942486;-0.22278293143782124;8.079546572106215;-0.7467639359568347;-0.196885843584778;-4.151079136690647;BA;153023;1;-6;True
Camacari;BA;ELINALDO;CAETANO;IVONEIDE CAETANO;309.208;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;2,231492674;1,98454389;0,246948784;135048;23072;158120;73994;44378;47;28;19;146.181;32945;179126;68927;52569;38;29;9;-10;Indústrias de transformação;84.446,59;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;23/04/2020;206;0,8;20/03/2020;240;0,954545455;0,51;0,4928;0,7393;0,5416;0,5214;0,7357;0,0316;0;0,0286;0;-0,0036;1;0.1459144953200101;0.18392081551533557;3.800632019532546;1.98454389;2.231492674;0.24694878399999998;0.11728161268976088;0.8220779221428571;0.06535250470503584;-1.6345637584806512;0.3524924160431654;0.16415691734123666;7.848920863309353;BA;309208;1;-10;True
Juazeiro;BA;PAULO BOMFIM;JOSEPH BANDEIRA;SUZANA RAMOS;219.544;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PT;2,457072328;2,864549601;-0,407477273;121937;24436;146373;46183;43734;32;30;2;123.223;23686;146909;33553;64229;23;44;-21;-23;Demais serviços;20.120,96;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;23/03/2020;237;0,920454545;0,4763;0,5111;0,5772;0,5041;0,4797;0,5945;0,0278;0;-0,0314;1;0,0173;0;0.16694335703989124;0.16122906016649763;-0.5714296873393615;2.864549601;2.457072328;-0.4074772729999996;-0.15344059984728814;0.902922077857143;0.14619666041932167;-6.006625465352559;-0.30193364095683417;-0.10656529519581234;-9.151079136690647;BA;219544;0;-23;True
Lauro de freitas;BA;MOEMA GRAMACHO;MATEUS REIS;TEOBALDO;204.669;12;6 - 100001 até 500000;2 - Nordeste;FEMININO;1;PT;2,591229497;2,249427616;0,341801881;96770;21785;118555;43951;34101;37;29;8;111.003;34202;145205;50680;34216;35;24;11;3;Demais serviços;32.002,21;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/04/2020;223;0,897142857;19/03/2020;241;0,965909091;0,5917;0,5499;0,7825;0,6044;0,5896;0,7894;0,0127;0;0,0397;0;0,0069;0;0.1837543756062587;0.23554285320753418;5.178847760127548;2.249427616;2.591229497;0.34180188099999986;0.14145668137497736;0.9804359925714287;0.22371057513360737;-0.2563480178856494;0.4473455130431653;0.18833198602645315;-3.1510791366906474;BA;204669;1;3;True
Vitoria da conquista;BA;HERZEM GUSMÃO;ZÉ RAIMUNDO;ZÉ RAIMUNDO;343.643;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;2,278925844;2,917820263;-0,638894419;182772;47826;230598;78455;51989;34;23;11;187.550;43626;231176;78732;81721;34;35;-1;-13;Demais serviços;20.905,86;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;19/04/2020;210;0,822857143;22/03/2020;238;0,931818182;0,4498;0,4064;0,6526;0,5275;0,5625;0,6569;0,0777;0;0,1561;0;0,0043;0;0.20739989071891343;0.18871336124857252;-1.8686529470340911;2.917820263;2.278925844;-0.6388944189999997;-0.24713264134602406;0.6792393321428571;-0.07748608529496415;-7.303848725047288;-0.5333507869568342;-0.20025733669454826;-0.15107913669064743;BA;343643;1;-13;True
Aquiraz;CE;EDSON SÁ;GUIMARÃES;DR BRUNO GONÇALVES;81.581;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PDT;1,988053182;2,094032464;-0,105979281;47311;4174;51485;26348;14109;51;27;24;50.652;7165;57817;21884;25562;38;44;-6;-30;Demais serviços;42.147,15;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5493;0,5048;0,6606;0,6122;0,5604;0,6642;0,0629;0;0,0556;0;0,0036;0;0.08107215693891424;0.12392548904301504;4.285333210410079;2.094032464;1.988053182;-0.10597928200000006;-0.0519357562854326;0.9567625231428573;0.20003710570503597;-1.149862567603118;-0.0004356499568346217;-0.005060451633956804;12.848920863309353;CE;81581;0;-30;True
Caucaia;CE;NAUMI AMORIM;EDUARDO PESSOA;VITOR VALIM;368.918;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSD;3,464591071;2,85374399;0,61084708;180332;32841;213173;73316;48450;34;23;12;189.148;32980;222128;69262;47171;31;21;10;-2;Demais serviços;19.873,31;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;20/03/2020;240;0,954545455;0,4558;0,3922;0,5058;0,5389;0,5039;0,5081;0,0831;0;0,1117;0;0,0023;0;0.15405797169435154;0.1484729525318735;-0.5585019162478028;2.85374399;3.464591071;0.6108470810000002;0.19396279579111764;0.9339146568571428;0.17718923941932152;-5.993697694261;0.7163907130431656;0.24083810044259343;0.8489208633093526;CE;368918;0;-2;True
Itapipoca;CE;JOÃO BARROSO;DR, DAGMAURO;FELIPE PINHEIRO;131.687;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSDB;2,776309144;2,662797251;0,113511893;75335;3977;79312;33158;27526;42;35;7;76.347;11554;87901;27415;31760;31;36;-5;-12;Administração, defesa, educação e saúde públicas e seguridade social;12.210,38;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5047;0,5316;0,4416;0,5208;0,5124;0,4155;0,0161;0;-0,0192;1;-0,0261;1;0.05014373613072423;0.13144332828978056;8.129959215905632;2.662797251;2.776309144;0.11351189299999964;0.04174523118459959;0.9567625231428573;0.20003710570503597;2.694763437892435;0.21905552504316508;0.08862053583607539;-4.151079136690647;CE;131687;0;-12;True
Juazeiro do norte;CE;ARNON BEZERRA;GILMAR BENDER;GLÊDSON BEZERRA;278.264;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PTB;3,003987253;3,170565649;-0,166578396;143179;17003;160182;55538;44321;35;28;7;143.931;30673;174604;48079;50715;28;29;-2;-9;Demais serviços;17.354,57;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5225;0,4998;0,6037;0,5782;0,5621;0,5903;0,0557;0;0,0623;0;-0,0134;1;0.10614800664244423;0.17567180591509932;6.952379927265509;3.170565649;3.003987253;-0.1665783959999998;-0.05396951959066454;0.9567625231428573;0.20003710570503597;1.5171841492523122;-0.061034763956834354;-0.007094214939188742;-4.151079136690647;CE;278264;0;-9;True
Sobral;CE;IVO GOMES;MOSES RODRIGUES;OSCAR RODRIGUES;212.437;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PDT;1,934147984;2,313639695;-0,379491712;120638;10757;131395;57908;45209;44;34;10;121.470;20621;142091;66519;45795;47;32;15;5;Demais serviços;21.343,10;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;19/03/2020;241;0,965909091;0,6863;0,6995;0,6702;0,7452;0,7218;0,6929;0,0589;0;0,0223;0;0,0227;0;0.08186765097606453;0.1451253070215566;6.325765604549207;2.313639695;1.934147984;-0.379491711;-0.1791549989123433;0.9608441558571429;0.2041187384193216;0.8905698265360096;-0.2739480789568346;-0.1322796942608675;-1.1510791366906474;CE;212437;1;5;True
Cachoeiro de itapemirim;ES;VICTOR COELHO;JATHIR MOREIRA;DIEGO LIBARDI;212.172;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSB;2,986582709;2,408105831;0,578476878;109824;27114;136938;59377;24594;43;18;25;105.624;34814;140438;51926;17299;37;12;25;-1;Demais serviços;25.235,59;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;20/03/2020;240;0,954545455;0,632;0,5943;0,7459;0,7018;0,6833;0,7489;0,0698;0;0,089;0;0,003;0;0.19800201551066907;0.247895868639542;4.9893853128872925;2.408105831;2.986582709;0.578476878;0.2152893508660767;0.9673840445714286;0.21065862713360728;-0.4458104651259047;0.6840205100431654;0.2621646555175525;13.848920863309353;ES;212172;1;-1;True
