Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;delta_competicao;delta_abstencao_pp_c;delta_abstencao_pp_z;delta_competicao_c;delta_competicao_z;vantagem2016_c;vantagem2016_z;id_municipio;mask_27A
Breves;PA;TONINHO BARBOSA;LUTH REBELO;XARÃO LEÃO;104.280;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;REPUBLICANOS;3.096992495;2.973170401;0.123822094;47918;13310;61228;17268;17116;28;28;0;54.468;14884;69352;12473;19220;18;28;-10;-10;Administração, defesa, educação e saúde públicas e seguridade social;8.185,99;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;16/03/2020;244;1;0,2723;0,2526;0,3946;0,3287;0,3155;0,3714;0,0564;0;0,0629;0;-0,0232;1;0.21738420330567715;0.21461529588187794;-0.2768907423799205;0.123822094;-5.712086520393118;-1.1939937463545482;0.22936572602039568;0.2115791969081688;-11.151079136690647;-1.0416426740245577;Breves - PA;True
Castanhal;PA;PEDRO COELHO;PAULO TITAN;TITAN;205.667;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;CIDADANIA;4.956156494;2.578973911;2.377182582;107408;13873;121281;52285;29602;43;24;19;105.384;24574;129958;24457;26857;19;21;-2;-21;Demais serviços;21.122,55;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;01/05/2020;198;0,477272727;0,4208;0,4409;0,5685;0,4876;0,4824;0,5933;0,0668;0;0,0415;0;0,0248;0;0.11438724944550259;0.1890918604472214;7.470461100171881;2.377182582;2.0352653221586836;0.42543019230431733;2.4827262140203956;2.290199270917153;7.848920863309353;0.7331820370069628;Castanhal - PA;True
Itaituba;PA;VALMIR CLIMACO;IVAN DALMEIDA;IVAN DALMEIDA;101.541;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;MDB;1.537509193;2.641179023;-1.10366983;55199;20239;75438;26293;15244;35;20;15;57.574;26401;83975;42077;12270;50;15;35;21;Demais serviços;25.900,08;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;12/06/2020;156;0;0,3118;0,1698;0,516;0,3884;0,2891;0,556;0,0766;0;0,1193;0;0,04;0;0.2682865399400832;0.3143911878535278;4.61046479134446;-1.10366983;-0.8247309866687376;-0.17239298406837125;-0.9981261979796043;-0.9207249184333223;3.8489208633093526;0.3595347294213796;Itaituba - PA;True
Alagoa grande;PB;SOBRINHO;JOSILDO OLIVEIRA;BÔDA;28.384;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2.893935994;2.461921954;0.43201404;17689;6331;24020;7474;6704;31;28;3;17.556;3924;21480;7000;4969;33;23;9;6;Administração, defesa, educação e saúde públicas e seguridade social;9.884,10;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;28/05/2020;171;0,6;19/03/2020;241;0,965909091;0,3776;0,5484;0,3099;0,3906;0,5135;0,3285;0,013;0;-0,0349;1;0,0186;0;0.26357202331390506;0.18268156424581006;-8.089045906809499;0.43201404;-13.524241684822696;-2.826963481420528;0.5375576720203956;0.4958719095100828;-8.151079136690647;-0.7614071933353702;Alagoa grande - PB;True
Areia;PB;JOÃO FRANCISCO;PAULO MOVEIS;DRA SILVIA;22.493;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PSDB;2.079695152;1.944270085;0.135425067;15701;3884;19585;8873;5254;45;27;18;14.727;3220;17947;6040;7248;34;40;-7;-25;Administração, defesa, educação e saúde públicas e seguridade social;10.754,72;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;11/05/2020;188;0,697142857;21/03/2020;239;0,943181818;0,3504;0,3893;0,3387;0,5009;0,6483;0,3683;0,1505;0;0,259;0;0,0296;0;0.1983150370181261;0.17941717278653815;-1.8897864231587957;0.135425067;-7.324982201171993;-1.5311362860371758;0.2409686990203957;0.22228239895880503;6.848920863309353;0.639770210110567;Areia - PB;True
Cajazeiras;PB;ZÉ ALDEMIR;DRA DENISE;DRA DENISE;62.576;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2.556951634;2.151547057;0.405404577;36762;8653;45415;16926;15839;37;35;2;36.462;7959;44421;16416;12688;37;29;8;6;Demais serviços;18.213,02;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/05/2020;181;0,657142857;18/05/2020;181;0,284090909;0,4905;0,6037;0,4851;0,5743;0,6495;0,4923;0,0838;0;0,0458;0;0,0072;0;0.19053176263349114;0.1791720132369825;-1.1359749396508634;0.405404577;-6.57117071766406;-1.3735675597888253;0.5109482090203956;0.47132591953424396;-9.151079136690647;-0.854819020231766;Cajazeiras - PB;True
Mamanguape;PB;EUNICE;FABIO FERNANDES;FABRÍCIO SALES;45.385;11;4 - 20001 até 50000;2 - Nordeste;FEMININO;1;CIDADANIA;1.87512932;2.074275078;-0.199145758;26516;3483;29999;12859;11020;43;37;6;25.634;5289;30923;14991;8841;48;29;20;14;Administração, defesa, educação e saúde públicas e seguridade social;15.320,26;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;29/05/2020;170;0,594285714;18/03/2020;242;0,977272727;0,3953;0,4005;0,5358;0,4412;0,4107;0,5517;0,0459;0;0,0102;0;0,0159;0;0.1161038701290043;0.171037738899848;5.493386877084369;-0.199145758;0.05819109907117159;0.012163647755758275;-0.09360212597960432;-0.0863436006210487;-5.151079136690647;-0.48117171264618275;Mamanguape - PB;True
Mari;PB;ANTONIO GOMES;MARCOS MARTINS;MARCOS MARTINS;21.895;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PL;2.560317252;2.166443468;0.393873784;13724;3537;17261;6298;5913;36;34;2;14.348;2027;16375;6263;5671;38;35;4;1;Administração, defesa, educação e saúde públicas e seguridade social;10.091,56;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;01/05/2020;198;0,754285714;20/03/2020;240;0,954545455;0,3783;0,5326;0,3121;0,4392;0,5298;0,3118;0,0609;0;-0,0028;1;-0,0003;1;0.20491280922310412;0.12378625954198473;-8.112654968111938;0.393873784;-13.547850746125135;-2.831898468215944;0.4994174160203957;0.46068930017099446;-9.151079136690647;-0.854819020231766;Mari - PB;True
Cabo de santo agostinho;PE;LULA CABRAL;BETINHO;KEKO DO ARMAZEM;210.796;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2.863997109;2.232404001;0.631593108;136514;25711;162225;66970;44028;41;27;14;130.451;22611;153062;33449;54305;22;35;-14;-28;Demais serviços;48.296,36;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;20/03/2020;240;0,954545455;0,5446;0,5719;0,6425;0,5593;0,5429;0,6413;0,0147;0;-0,029;1;-0,0012;1;0.15848975188781014;0.14772445152944558;-1.0765300358364565;0.631593108;-6.511725813849654;-1.3611418300395208;0.7371367400203956;0.6799743020504831;2.8489208633093526;0.2661229025249838;Cabo de santo agostinho - PE;True
Jaboatao dos guararapes;PE;ANDERSON FERREIRA;NECO;DANIEL ALVES;711.330;13;7 - Maior que 500000;2 - Nordeste;MASCULINO;1;PL;2.526378891;3.734115037;-1.207736146;368313;75539;443852;99670;87490;22;20;3;348.251;106664;454915;144586;81827;32;18;14;11;Demais serviços;18.809,45;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;20/03/2020;240;0,954545455;0,525;0,5049;0,6205;0,5196;0,5067;0,5752;-0,0054;1;0,0018;0;-0,0453;1;0.17018961275380082;0.2344701757471176;6.428056299331677;-1.207736146;0.9928605213184802;0.207536991819759;-1.1021925139796043;-1.0167212468582316;-8.151079136690647;-0.7614071933353702;Jaboatao dos guararapes - PE;True
Olinda;PE;PROFESSOR LUPERCIO;ANTÔNIO CAMPOS;JOÃO PAULO;393.734;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;SOLIDARIEDADE;2.152488493;4.977854149;-2.825365656;242370;16958;259328;46476;55995;18;22;-4;231.439;51513;282952;123534;45289;44;16;28;31;Demais serviços;14.314,03;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;17/07/2020;121;0,314285714;20/03/2020;240;0,954545455;0,5214;0,4945;0,653;0,531;0,5187;0,6266;0,0096;0;0,0242;0;-0,0264;1;0.06539209032576505;0.18205561367299047;11.666352334722543;-2.825365656;6.231156556709346;1.30249461990906;-2.7198220239796043;-2.5089091101413468;-15.151079136690647;-1.415289981610141;Olinda - PE;True
Petrolina;PE;MIGUEL COELHO;ODACY AMORIM;JULIO LOSSIO FILHO;359.372;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;1.665062186;3.584928913;-1.919866727;168514;15364;183878;60509;39618;33;22;11;170.622;39737;210359;121300;15567;58;7;50;39;Demais serviços;19.416,68;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;31/05/2020;168;0,582857143;23/03/2020;237;0,920454545;0,5681;0,5331;0,6479;0,6583;0,6625;0,654;0,0902;0;0,1294;0;0,0061;0;0.0835554008636161;0.18890087897356425;10.534547810994816;-1.919866727;5.099352032981619;1.0659142532423291;-1.8143230949796043;-1.6736285321617455;-0.15107913669064743;-0.014112578164203679;Petrolina - PE;True
Vitoria de santo antao;PE;AGLAILSON;PAULO ROBERTO;PAULO ROBERTO;140.389;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2.270911295;2.964597944;-0.693686649;83748;4631;88379;30935;30019;35;34;1;80.788;14156;94944;26532;40665;28;43;-15;-16;Demais serviços;30.132,25;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;20/03/2020;240;0,954545455;0,4296;0,3722;0,5413;0,494;0,4957;0,5704;0,0644;0;0,1235;0;0,0291;0;0.05239932563165458;0.1490984159083249;9.669909027667032;-0.693686649;4.234713249653835;0.8851793682816005;-0.5881430169796042;-0.5425345336409451;-10.151079136690647;-0.9482308471281619;Vitoria de santo antao - PE;True
Barras;PI;CARLOS MONTE;EDILSON CAPOTE;CAPOTE;47.298;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PTB;2.45690348;1.996117282;0.460786198;29361;2927;32288;14299;13091;44;41;4;28.791;5953;34744;10257;13825;30;40;-10;-14;Administração, defesa, educação e saúde públicas e seguridade social;9.950,15;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;21/03/2020;239;0,943181818;0,3497;0,4113;0,2956;0,413;0,4421;0,2969;0,0633;0;0,0308;0;0,0013;0;0.09065287413280476;0.17133893621920332;8.068606208639856;0.460786198;2.6334104306266592;0.5504600769836857;0.5663298300203956;0.5224128848710381;-7.151079136690647;-0.6679953664389744;Barras - PI;True
Campo maior;PI;PROFESSOR RIBINHA;JOÃOZINHO FÉLIX;JOÃOZINHO FÉLIX;46.950;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PT;2.355003933;2.181826496;0.173177437;29732;2058;31790;14264;12062;45;38;7;28.437;5437;33874;11439;12748;34;38;-4;-11;Administração, defesa, educação e saúde públicas e seguridade social;14.081,19;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,3965;0,3083;0,3985;0,4697;0,4081;0,4125;0,0732;0;0,0998;0;0,014;0;0.0647373387857817;0.16050658322016886;9.576924443438717;0.173177437;4.14172866542552;0.8657428608548283;0.2787210690203957;0.25710720153314326;-4.151079136690647;-0.3877598857497869;Campo maior - PI;True
Floriano;PI;JOEL RODRIGUES;ALMIR REIS;BILU CLAUDEMIR REZENDE;60.111;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2.793180314;2.345688179;0.447492135;35983;6023;42006;16040;15328;38;36;2;33.984;8895;42879;14429;9742;34;23;11;9;Demais serviços;21.866,04;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,4373;0,3583;0,5313;0,5055;0,5191;0,5513;0,0682;0;0,1608;0;0,02;0;0.14338427843641385;0.20744420345623732;6.405992501982347;0.447492135;0.9707967239691495;0.2029250105477873;0.5530357670203957;0.5101497310773607;-9.151079136690647;-0.854819020231766;Floriano - PI;True
Parnaiba;PI;MÃO SANTA;FLORENTINO;DR HELIO;153.863;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;1.856665802;2.454497943;-0.597832141;85979;12357;98336;35585;34462;36;35;1;83.864;19483;103347;52075;20123;50;19;31;30;Demais serviços;17.021,64;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,3826;0,3436;0,4929;0,4422;0,4302;0,5223;0,0596;0;0,0866;0;0,0294;0;0.1256609990237553;0.18852022796984916;6.285922894609386;-0.597832141;0.8507271165961887;0.177826938272668;-0.49228850897960436;-0.45411321553666906;-10.151079136690647;-0.9482308471281619;Parnaiba - PI;True
Piripiri;PI;LUIZ MENEZES;JÔVE OLIVEIRA;JÔVE OLIVEIRA;63.829;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PP;2.098293325;2.049104677;0.049188648;39314;8678;47992;17956;17729;37;37;0;37.775;11953;49728;17110;17671;34;36;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;14.159,14;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;;01/05/2020;198;0,754285714;20/03/2020;240;0,954545455;0,4855;0,5654;0,4019;0,5409;0,6308;0,4434;0,0554;0;0,0654;0;0,0415;0;0.180821803633939;0.24036759974259975;5.954579610866076;0.049188648;0.5193838328528786;0.10856646624136106;0.15473228002039568;0.14273331988395713;-11.151079136690647;-1.0416426740245577;Piripiri - PI;True
Curitiba;PR;RAFAEL GRECA;NEY LEPREVOST;GOURA;1.963.726;14;7 - Maior que 500000;4 - Sul;MASCULINO;1;DEM;2.597457674;3.970100915;-1.372643241;1077252;211952;1289204;356539;219727;28;17;11;942.467;407421;1349888;499821;110977;37;8;29;18;Demais serviços;45.318,46;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/06/2020;152;0,491428571;26/03/2020;234;0,886363636;0,8049;0,8198;0,8926;0,8074;0,8158;0,9151;0,0025;0;-0,004;1;0,0225;0;0.1644053229744866;0.3018183730798407;13.741305010535413;-1.372643241;8.306109232522216;1.7362206340471822;-1.2670996089796043;-1.168840359551889;-0.15107913669064743;-0.014112578164203679;Curitiba - PR;True
Foz do iguacu;PR;CHICO BRASILEIRO;PHELIPE MANSUR;PAULO MAC DONALD;257.971;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3.00053621;2.151352161;0.849184049;150839;14891;165730;54488;23572;33;14;19;141.027;42279;183306;54252;51595;30;28;1;-17;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;69.247,40;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/06/2020;154;0,502857143;22/03/2020;238;0,931818182;0,6535;0,583;0,8;0,6967;0,6719;0,7777;0,0432;0;0,0889;0;-0,0223;1;0.0898509624087371;0.23064711466073123;14.079615225199413;0.849184049;8.644419447186216;1.8069373991372322;0.9547276810203957;0.880691808323321;7.848920863309353;0.7331820370069628;Foz do iguacu - PR;True
Londrina;PR;MARCELO BELINATI;VALTER ORSI;BOCA ABERTA;580.870;13;7 - Maior que 500000;4 - Sul;MASCULINO;1;PP;1.682450075;2.522263563;-0.839813488;301984;51330;353314;136360;93415;39;26;12;278.784;97289;376073;175331;18558;47;5;42;30;Demais serviços;37.766,29;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;09/04/2020;220;0,88;19/03/2020;241;0,965909091;0,7714;0,762;0,9089;0,7769;0,7382;0,9077;0,0055;0;-0,0238;1;-0,0012;1;0.14528153427263002;0.25869711465593115;11.341558038330113;-0.839813488;5.906362260316916;1.2346030784627484;-0.7342698559796044;-0.6773297350809373;0.8489208633093526;0.07929924873219214;Londrina - PR;True
Maringa;PR;ULISSES MAIA;SILVIO BARROS;HOMERO MARCHESE;436.472;13;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;2.696241562;3.399490122;-0.703248561;213696;48020;261716;56156;77196;21;29;-8;195.581;83919;279500;103010;34152;37;12;25;33;Demais serviços;46.507,74;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;18/03/2020;242;0,977272727;0,8291;0,8171;0,9151;0,8525;0,8352;0,9443;0,0234;0;0,0181;0;0,0292;0;0.18348133090831284;0.3002468694096601;11.676553850134727;-0.703248561;6.24135807212153;1.3046270360694245;-0.5977049289796044;-0.551354952004963;-19.151079136690647;-1.7889372891957243;Maringa - PR;True
Paranagua;PR;MARCELO ROQUE;ANDRE PIOLI;ADRIANO RAMOS;157.378;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PODE;2.468872998;2.943640651;-0.474767652;84269;8047;92316;32399;25446;35;28;8;78.809;22594;101403;36444;27265;36;27;9;2;Demais serviços;77.282,41;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;08/04/2020;221;0,885714286;20/03/2020;240;0,954545455;0,6023;0,4669;0,8094;0,6295;0,4983;0,8153;0,0272;0;0,0314;0;0,0059;0;0.08716798821439403;0.2228139206926817;13.564593247828766;-0.474767652;8.129397469815569;1.6992826887226942;-0.3692240199796043;-0.3405919575775839;-3.1510791366906474;-0.29434805885339116;Paranagua - PR;True
Belford roxo;RJ;WAGUINHO;DR,DEODALTO;CRISTIANO SANTOS;515.239;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;1.504955703;2.755699041;-1.250743338;264288;64489;328777;102777;65955;31;20;11;246.114;79682;325796;162720;25565;50;8;42;31;Administração, defesa, educação e saúde públicas e seguridade social;17.079,09;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/06/2020;153;0,497142857;30/03/2020;230;0,840909091;0,3656;0,3629;0,4475;0,3595;0,3014;0,397;-0,0061;1;-0,0615;1;-0,0505;1;0.19614814904935565;0.2445763606674115;4.842821161805586;-1.250743338;-0.5923746162076116;-0.12382368241900973;-1.1451997059796042;-1.056393377923822;-0.15107913669064743;-0.014112578164203679;Belford roxo - RJ;True
Campos dos goytacazes;RJ;RAFAEL DINIZ;DR, CHICÃO;WLADIMIR GAROTINHO;514.643;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;CIDADANIA;3.478271048;2.454337179;1.023933869;292646;66677;359323;151462;81989;42;23;19;270.753;89873;360626;13530;106526;4;30;-26;-45;Demais serviços;46.641,88;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;25/05/2020;174;0,617142857;03/04/2020;226;0,795454545;0,5386;0,5633;0,628;0,5351;0,5266;0,6241;-0,0035;1;-0,0367;1;-0,0039;1;0.18556285013761992;0.24921386699794246;6.365101686032254;1.023933869;0.929905908019057;0.194377629769601;1.1294775010203957;1.041890376291402;7.848920863309353;0.7331820370069628;Campos dos goytacazes - RJ;True
Duque de caxias;RJ;WASHINGTON REIS;DICA;MARCELO DINO;929.449;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;3.027887816;3.953520981;-0.925633165;509282;118882;628164;149782;87643;24;14;10;502.547;155453;658000;212354;71335;32;11;21;12;Demais serviços;50.997,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;14/04/2020;215;0,670454545;0,5161;0,5333;0,6915;0,5081;0,4977;0,6604;-0,008;1;-0,0356;1;-0,0311;1;0.18925312498010075;0.23625075987841945;4.699763489831871;-0.925633165;-0.7354322881813262;-0.15372693495113351;-0.8200895329796043;-0.7564943890753348;-1.1510791366906474;-0.1075244050605995;Duque de caxias - RJ;True
Nova iguacu;RJ;ROGERIO LISBOA;BORNIER;MAX LEMOS;825.388;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;2.383619695;3.067348424;-0.683728729;465686;117950;583636;157986;131531;27;23;5;435.797;151188;586985;218396;48740;37;8;29;24;Demais serviços;20.895,09;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;03/06/2020;165;0,565714286;21/03/2020;239;0,943181818;0,4853;0,5249;0,5812;0,4716;0,4987;0,527;-0,0137;1;-0,0262;1;-0,0542;1;0.20209514149229998;0.2575670587834442;5.547191729114423;-0.683728729;0.11199595110122562;0.023410441132934747;-0.5781850969796043;-0.5333488163455526;-6.151079136690647;-0.5745835395425786;Nova iguacu - RJ;True
Rio de janeiro;RJ;CRIVELLA;MARCELO FREIXO;EDUARDO PAES;6.775.561;16;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;REPUBLICANOS;4.585491121;5.782401206;-1.196910085;3708857;1189187;4898044;842201;553424;17;11;6;3.261.011;1590876;4851887;576825;974804;12;20;-8;-14;Demais serviços;49.094,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;18/04/2020;211;0,828571429;21/03/2020;239;0,943181818;0,7147;0,7311;0,8739;0,7397;0,7162;0,8607;0,025;0;-0,0149;1;-0,0132;1;0.24278814155201545;0.3278880979709544;8.509995641893898;-1.196910085;3.074799863880701;0.6427234243841088;-1.0913664529796043;-1.0067347099339872;-5.151079136690647;-0.48117171264618275;Rio de janeiro - RJ;True
Volta redonda;RJ;SAMUCA SILVA;BALTAZAR;NETO;274.925;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSC;2.787441971;4.251739506;-1.464297534;180817;42423;223240;39547;50881;18;23;-5;166.140;56851;222991;13889;85673;6;38;-32;-27;Demais serviços;42.448,64;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;20/03/2020;240;0,954545455;0,6775;0,7139;0,7781;0,6817;0,6435;0,8053;0,0042;0;-0,0704;1;0,0272;0;0.19003314818132952;0.2549475090922952;6.491436091096567;-1.464297534;1.0562403130833697;0.2207852286492185;-1.3587539019796042;-1.2533871749919674;-16.151079136690647;-1.5087018085065367;Volta redonda - RJ;True
Caico;RN;BATATA;ROBERTO GERMANO;DR TADEU;68.726;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;3.446192105;3.75366339;-0.307471285;37391;4089;41480;12687;9767;31;24;7;35.998;7337;43335;8301;14248;19;33;-14;-21;Demais serviços;18.883,59;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;14/05/2020;185;0,68;24/03/2020;236;0,909090909;0,5091;0,4809;0,5381;0,6143;0,6306;0,5591;0,1052;0;0,1497;0;0,021;0;0.09857762777242045;0.169308872735664;7.073124496324355;-0.307471285;1.6379287183111577;0.34237517930723654;-0.2019276529796043;-0.18626885277173885;-4.151079136690647;-0.3877598857497869;Caico - RN;True
Currais novos;RN;ODON JR;CARLSON GOMES;ZÉ LINS;45.022;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PT;2.595275678;2.649097731;-0.053822053;25454;7292;32746;10497;9628;32;29;3;24.827;5773;30600;10907;8958;36;29;6;4;Administração, defesa, educação e saúde públicas e seguridade social;16.670,54;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;29/04/2020;200;0,765714286;01/04/2020;228;0,818181818;0,5331;0,5592;0,4873;0,6178;0,6855;0,4957;0,0847;0;0,1263;0;0,0084;0;0.22268368655713675;0.18866013071895424;-3.4023555838182507;-0.053822053;-8.837551361831448;-1.847307638188166;0.05172157902039568;0.04771074711914288;-8.151079136690647;-0.7614071933353702;Currais novos - RN;True
Extremoz;RN;JOAZ;PADRE EDILSON;JUSSARA SALES;29.282;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PATRIOTA;4.770331445;2.826317384;1.944014062;19295;2902;22197;8998;4236;41;19;21;20.678;3511;24189;2671;5719;11;24;-13;-34;Administração, defesa, educação e saúde públicas e seguridade social;18.817,17;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;30/03/2020;230;0,840909091;0,3851;0,4359;0,4058;0,4626;0,4811;0,4158;0,0775;0;0,0452;0;0,01;0;0.13073838807045998;0.14514862127413286;1.4410233203672878;1.944014062;-3.9941724576459094;-0.8348992822963366;2.0495576940203954;1.8906214910209953;9.848920863309353;0.9200056907997545;Extremoz - RN;True
Mossoro;RN;ROSALBA CIARLINI;TIÃO;ALLYSON;303.792;13;6 - 100001 até 500000;2 - Nordeste;FEMININO;0;PP;2.411548913;2.359838192;0.051710721;144413;22707;167120;67476;51990;40;31;9;145.751;30181;175932;59034;65297;34;37;-4;-13;Demais serviços;23.838,91;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;24/04/2020;205;0,794285714;23/03/2020;237;0,920454545;0,5957;0,5724;0,7157;0,6412;0,6168;0,7312;0,0455;0;0,0444;0;0,0155;0;0.13587242699856392;0.17154923493167815;3.567680793311423;0.051710721;-1.8675149847017742;-0.39036544789658906;0.1572543530203957;0.14505981473191157;-2.1510791366906474;-0.2009362319569953;Mossoro - RN;True
Touros;RN;ASSIS DO HOSPITAL;DR, ALISSON;PEDRO FILHO;33.716;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PP;3.093167712;1.376134303;1.717033408;21487;3905;25392;13937;2721;55;11;44;21.283;3502;24785;7476;8310;30;34;-3;-48;Administração, defesa, educação e saúde públicas e seguridade social;18.206,68;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,3788;0,4662;0,3558;0,4335;0,527;0,3712;0,0547;0;0,0608;0;0,0154;0;0.15378859483301827;0.1412951381884204;-1.2493456644597862;1.717033408;-6.684541442472984;-1.3972653689796113;1.8225770400203958;1.681242411939492;32.84892086330935;3.0684777094168583;Touros - RN;True
