Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;delta_competicao;delta_abstencao_pp_c;delta_abstencao_pp_z;delta_competicao_c;delta_competicao_z;vantagem2016_c;vantagem2016_z;id_municipio;mask_27A
Autazes;AM;ANDRESON CAVALCANTE;THOMÉ;THOMÉ NETO;41.005;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PSC;3.030903612;2.574249797;0.456653815;21767;2073;23840;9729;8163;41;34;7;22.322;4043;26365;9101;7461;35;28;6;0;Administração, defesa, educação e saúde públicas e seguridade social;11.092,32;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,2443;0,3264;0,2347;0,2751;0,3012;0,2776;0,0308;0;-0,0252;1;0,0429;0;0.08695469798657718;0.15334724065996586;6.639254267338868;0.456653815;1.2040584893256705;0.25168356630582234;0.5621974470203956;0.5186009540667853;-4.151079136690647;-0.3877598857497869;Autazes - AM;True
Itacoatiara;AM;PEIXOTO;MAMOUD AMED FILHO;MÁRIO ABRAHIM;104.046;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;PT;3.925829032;2.893255684;1.032573348;52779;9564;62343;22284;18560;36;30;6;53.003;14267;67270;8113;19810;12;29;-17;-23;Demais serviços;22.140,55;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;23/03/2020;237;0,920454545;0,3413;0,3172;0,413;0,4225;0,4175;0,4065;0,0812;0;0,1003;0;-0,0065;1;0.15340936432317984;0.21208562509290918;5.867626076972934;1.032573348;0.43243029895973706;0.09039062536059408;1.1381169800203956;1.0498598931858418;-5.151079136690647;-0.48117171264618275;Itacoatiara - AM;True
Labrea;AM;GEAN BARROS;EVALDO GOMES;JOÃO ROBERTO;47.685;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1.699995963;1.683259775;0.016736188;17075;6156;23231;11390;4498;49;19;30;19.481;5960;25441;13778;2600;54;10;44;14;Administração, defesa, educação e saúde públicas e seguridade social;11.856,93;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;15/05/2020;184;0,674285714;12/06/2020;156;0;0,2771;0,321;0,2661;0,3305;0,3388;0,2825;0,0534;0;0,0178;0;0,0164;0;0.26499074512504844;0.23426752093078101;-3.072322419426743;0.016736188;-8.50751819743994;-1.778321019556566;0.12227982002039568;0.11279743738037895;18.848920863309353;1.7607121328673168;Labrea - AM;True
Parintins;AM;BI GARCIA;MARCIA BARANDA;JUSCELINO MANSO;116.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;DEM;1.860876487;2.11146476;-0.250588272;50678;13368;64046;30970;12773;48;20;28;52.202;17381;69583;32778;16262;47;23;24;-5;Administração, defesa, educação e saúde públicas e seguridade social;11.448,73;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;13/04/2020;216;0,857142857;20/03/2020;240;0,954545455;0,3295;0,2867;0,3054;0,4102;0,3848;0,3085;0,0807;0;0,0981;0;0,0031;0;0.20872497892140024;0.24978802293663682;4.1063044015236585;-0.250588272;-1.3288913764895387;-0.2777773038710551;-0.14504463997960432;-0.13379692325953824;16.848920863309353;1.5738884790745251;Parintins - AM;True
Sao gabriel da cachoeira;AM;CLOVIS  CURUBÃO;EDINHO GONÇALVES;CLAUDIO PONTES;47.031;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PT;2.904980977;5.54780193;-2.642820953;20371;8385;28756;4649;2642;16;9;7;22.938;8247;31185;11197;6001;36;19;17;10;Administração, defesa, educação e saúde públicas e seguridade social;8.133,70;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;08/05/2020;191;0,714285714;20/04/2020;209;0,602272727;0,2259;0,213;0,2921;0,2686;0,2301;0,3284;0,0427;0;0,0171;0;0,0363;0;0.29159132007233274;0.26445406445406444;-2.7137255618268297;-2.642820953;-8.148921339840026;-1.7033637506307404;-2.5372773209796047;-2.3405201257420574;-4.151079136690647;-0.3877598857497869;Sao gabriel da cachoeira - AM;True
Laranjal do jari;AP;MÁRCIO SERRÃO;SERGINHO 14;AYRTON NOBRE;52.302;11;5 - 50001 até 100000;1 - Norte;MASCULINO;1;DEM;3.543519167;3.543519167;0.0;22408;5310;27718;6849;6091;25;22;3;20.668;7704;28372;13111;4000;46;14;32;29;Administração, defesa, educação e saúde públicas e seguridade social;20.142,52;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/04/2020;202;0,777142857;20/03/2020;240;0,954545455;0,268;0,2141;0,3085;0,3408;0,3385;0,3371;0,0728;0;0,1244;0;0,0286;0;0.19157226351107584;0.27153531650923446;7.9963052998158615;0.0;2.5611095218026643;0.5353470648324519;0.10554363202039568;0.09735908363074657;-8.151079136690647;-0.7614071933353702;Laranjal do jari - AP;True
Oiapoque;AP;MARIA ORLANDA;ARTUR DO AREAL;BRENO DO MIGUEL DO POSTO;28.534;10;4 - 20001 até 50000;1 - Norte;FEMININO;0;PSDB;5.053983122;3.27912866;1.774854462;12797;5464;18261;4834;3507;26;19;7;12.067;7480;19547;2959;2962;15;15;0;-7;Administração, defesa, educação e saúde públicas e seguridade social;17.494,76;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/04/2020;209;0,817142857;08/04/2020;221;0,738636364;0,2607;0,2696;0,2891;0,2814;0,2248;0,3609;0,0207;0;-0,0448;1;0,0718;0;0.2992169103554022;0.3826674169949353;8.345050663953307;1.774854462;2.90985488594011;0.6082450824593963;1.8803980940203957;1.7345796405741485;-4.151079136690647;-0.3877598857497869;Oiapoque - AP;True
Pedra branca do amapari;AP;BETH PELAES;IRMÃO WILSON;IRMÃO WILSON;17.625;10;3 - 10001 até 20000;1 - Norte;FEMININO;1;DEM;2.349719576;3.629464601;-1.279745025;6906;1410;8316;2159;2062;26;25;1;7.546;4192;11738;1992;2000;17;17;0;-1;Administração, defesa, educação e saúde públicas e seguridade social;27.493,88;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;23/04/2020;206;0,8;20/03/2020;240;0,954545455;0,302;0,1967;0,5188;0,4491;0,4096;0,5978;0,1471;0;0,2129;0;0,079;0;0.16955266955266957;0.3571306866587153;18.75780171060457;-1.279745025;13.322605932591374;2.7848156907058446;-1.1742013929796042;-1.0831460830943254;-10.151079136690647;-0.9482308471281619;Pedra branca do amapari - AP;True
Porto grande;AP;BESSA;TONHO;ELIELSON MORAES;22.927;10;4 - 20001 até 50000;1 - Norte;MASCULINO;1;PDT;4.350743156;3.962016402;0.388726754;10984;2191;13175;3402;2600;26;20;6;10.240;3441;13681;3306;2662;24;19;5;-1;Administração, defesa, educação e saúde públicas e seguridade social;16.993,05;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;18/04/2020;211;0,828571429;20/03/2020;240;0,954545455;0,3132;0,1622;0,4617;0,3736;0,2681;0,4146;0,0604;0;0,1059;0;-0,0471;1;0.1662998102466793;0.25151670199546816;8.521689174878885;0.388726754;3.086493396865688;0.6451677160115235;0.4942703860203957;0.45594140477809075;-5.151079136690647;-0.48117171264618275;Porto grande - AP;True
Tartarugalzinho;AP;RILDO OLIVEIRA;ALMIR REZENDE;BRUNO MINEIRO;18.217;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;MDB;2.559336655;2.542653109;0.016683546;7479;1035;8514;3984;1929;47;23;24;8.021;1706;9727;3176;3567;33;37;-4;-28;Administração, defesa, educação e saúde públicas e seguridade social;13.849,97;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;22/04/2020;207;0,805714286;29/04/2020;200;0,5;0,3271;0,4036;0,2934;0,3391;0,409;0,3062;0,012;0;0,0054;0;0,0128;0;0.12156448202959831;0.17538809499331756;5.382361296371925;0.016683546;-0.05283448164127247;-0.011043957483196865;0.12222717802039568;0.1127488775877853;12.848920863309353;1.200241171488942;Tartarugalzinho - AP;True
Alagoinhas;BA;JOAQUIM NETO;SONIA FONTES;PAULO CEZAR;153.023;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PSD;3.0876289;3.939936468;-0.852307568;85710;8467;94177;25684;18890;27;20;7;82.869;24066;106935;28268;27015;26;25;1;-6;Demais serviços;29.241,79;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;20/04/2020;209;0,817142857;23/03/2020;237;0,920454545;0,4193;0,4236;0,5644;0,4695;0,5236;0,6046;0,0502;0;0,1;0;0,0402;0;0.08990517854677894;0.22505260204797306;13.514742350119413;-0.852307568;8.079546572106215;1.6888623878566926;-0.7467639359796043;-0.6888549418255201;-4.151079136690647;-0.3877598857497869;Alagoinhas - BA;True
Camacari;BA;ELINALDO;CAETANO;IVONEIDE CAETANO;309.208;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;2.231492674;1.98454389;0.246948784;135048;23072;158120;73994;44378;47;28;19;146.181;32945;179126;68927;52569;38;29;9;-10;Indústrias de transformação;84.446,59;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;23/04/2020;206;0,8;20/03/2020;240;0,954545455;0,51;0,4928;0,7393;0,5416;0,5214;0,7357;0,0316;0;0,0286;0;-0,0036;1;0.1459144953200101;0.18392081551533557;3.800632019532546;0.246948784;-1.6345637584806512;-0.34167180393292895;0.3524924160203957;0.3251578323920272;7.848920863309353;0.7331820370069628;Camacari - BA;True
Juazeiro;BA;PAULO BOMFIM;JOSEPH BANDEIRA;SUZANA RAMOS;219.544;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PT;2.457072328;2.864549601;-0.407477273;121937;24436;146373;46183;43734;32;30;2;123.223;23686;146909;33553;64229;23;44;-21;-23;Demais serviços;20.120,96;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;23/03/2020;237;0,920454545;0,4763;0,5111;0,5772;0,5041;0,4797;0,5945;0,0278;0;-0,0314;1;0,0173;0;0.16694335703989124;0.16122906016649763;-0.5714296873393615;-0.407477273;-6.006625465352559;-1.2555610312834249;-0.3019336409796043;-0.27851971777310547;-9.151079136690647;-0.854819020231766;Juazeiro - BA;True
Lauro de freitas;BA;MOEMA GRAMACHO;MATEUS REIS;TEOBALDO;204.669;12;6 - 100001 até 500000;2 - Nordeste;FEMININO;1;PT;2.591229497;2.249427616;0.341801881;96770;21785;118555;43951;34101;37;29;8;111.003;34202;145205;50680;34216;35;24;11;3;Demais serviços;32.002,21;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/04/2020;223;0,897142857;19/03/2020;241;0,965909091;0,5917;0,5499;0,7825;0,6044;0,5896;0,7894;0,0127;0;0,0397;0;0,0069;0;0.1837543756062587;0.23554285320753418;5.178847760127548;0.341801881;-0.2563480178856494;-0.05358426017412361;0.44734551302039566;0.41265539550103353;-3.1510791366906474;-0.29434805885339116;Lauro de freitas - BA;True
Vitoria da conquista;BA;HERZEM GUSMÃO;ZÉ RAIMUNDO;ZÉ RAIMUNDO;343.643;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;2.278925844;2.917820263;-0.638894419;182772;47826;230598;78455;51989;34;23;11;187.550;43626;231176;78732;81721;34;35;-1;-13;Demais serviços;20.905,86;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;19/04/2020;210;0,822857143;22/03/2020;238;0,931818182;0,4498;0,4064;0,6526;0,5275;0,5625;0,6569;0,0777;0;0,1561;0;0,0043;0;0.20739989071891343;0.18871336124857252;-1.8686529470340911;-0.638894419;-7.303848725047288;-1.526718769208335;-0.5333507869796044;-0.4919912540439891;-0.15107913669064743;-0.014112578164203679;Vitoria da conquista - BA;True
Aquiraz;CE;EDSON SÁ;GUIMARÃES;DR BRUNO GONÇALVES;81.581;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PDT;1.988053182;2.094032464;-0.105979281;47311;4174;51485;26348;14109;51;27;24;50.652;7165;57817;21884;25562;38;44;-6;-30;Demais serviços;42.147,15;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5493;0,5048;0,6606;0,6122;0,5604;0,6642;0,0629;0;0,0556;0;0,0036;0;0.08107215693891424;0.12392548904301504;4.285333210410079;-0.105979281;-1.149862567603118;-0.24035502788406976;-0.00043564897960431115;-0.00040186588832521135;12.848920863309353;1.200241171488942;Aquiraz - CE;True
Caucaia;CE;NAUMI AMORIM;EDUARDO PESSOA;VITOR VALIM;368.918;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSD;3.464591071;2.85374399;0.61084708;180332;32841;213173;73316;48450;34;23;12;189.148;32980;222128;69262;47171;31;21;10;-2;Demais serviços;19.873,31;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;20/03/2020;240;0,954545455;0,4558;0,3922;0,5058;0,5389;0,5039;0,5081;0,0831;0;0,1117;0;0,0023;0;0.15405797169435154;0.1484729525318735;-0.5585019162478028;0.61084708;-5.993697694261;-1.252858747663855;0.7163907120203956;0.6608370577052488;0.8489208633093526;0.07929924873219214;Caucaia - CE;True
Itapipoca;CE;JOÃO BARROSO;DR, DAGMAURO;FELIPE PINHEIRO;131.687;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSDB;2.776309144;2.662797251;0.113511893;75335;3977;79312;33158;27526;42;35;7;76.347;11554;87901;27415;31760;31;36;-5;-12;Administração, defesa, educação e saúde públicas e seguridade social;12.210,38;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5047;0,5316;0,4416;0,5208;0,5124;0,4155;0,0161;0;-0,0192;1;-0,0261;1;0.05014373613072423;0.13144332828978056;8.129959215905632;0.113511893;2.694763437892435;0.56328465636179;0.21905552502039569;0.202068516801814;-4.151079136690647;-0.3877598857497869;Itapipoca - CE;True
Juazeiro do norte;CE;ARNON BEZERRA;GILMAR BENDER;GLÊDSON BEZERRA;278.264;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PTB;3.003987253;3.170565649;-0.166578396;143179;17003;160182;55538;44321;35;28;7;143.931;30673;174604;48079;50715;28;29;-2;-9;Demais serviços;17.354,57;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;19/03/2020;241;0,965909091;0,5225;0,4998;0,6037;0,5782;0,5621;0,5903;0,0557;0;0,0623;0;-0,0134;1;0.10614800664244423;0.17567180591509932;6.952379927265509;-0.166578396;1.5171841492523122;0.31713602022800497;-0.061034763979604306;-0.05630172637535215;-4.151079136690647;-0.3877598857497869;Juazeiro do norte - CE;True
